iter	Logloss
0	0.692878308
1	0.6926493198
2	0.692413877
3	0.692212381
4	0.6920007863
5	0.691811408
6	0.6916433066
7	0.6914845521
8	0.6913198458
9	0.6911814206
10	0.6910634895
11	0.6909414964
12	0.6908445736
13	0.6907498134
14	0.6906600049
15	0.6905693778
16	0.6904962503
17	0.6904237095
18	0.6903558837
19	0.6902828039
20	0.6902224211
21	0.6901547715
22	0.6900953555
23	0.6900091651
24	0.6899535665
25	0.6898840027
26	0.6898067873
27	0.6897367994
28	0.6896587891
29	0.6896055129
30	0.6895490316
31	0.6894935413
32	0.6894492037
33	0.689392529
34	0.689348458
35	0.6893029499
36	0.6892620346
37	0.689223775
38	0.6891977394
39	0.6891594035
40	0.6891241144
41	0.689086214
42	0.6890608166
43	0.6890333722
44	0.6890015282
45	0.6889738152
46	0.6889417986
47	0.688909113
48	0.6888814349
49	0.6888531814
50	0.6888304041
51	0.6888087106
52	0.6887819951
53	0.6887571025
54	0.688722909
55	0.6886952709
56	0.6886700287
57	0.6886509751
58	0.6886294107
59	0.6886020681
60	0.6885800609
61	0.6885565915
62	0.6885406705
63	0.6885198588
64	0.6885052821
65	0.6884850564
66	0.6884616458
67	0.6884414742
68	0.6884172648
69	0.6883949662
70	0.6883765682
71	0.6883567057
72	0.688334763
73	0.6883137618
74	0.6882929828
75	0.6882785701
76	0.688265275
77	0.6882499714
78	0.6882371425
79	0.6882143031
80	0.6881968966
81	0.6881747967
82	0.6881602338
83	0.688137508
84	0.688117562
85	0.6881016394
86	0.6880845051
87	0.6880660095
88	0.6880518147
89	0.6880368962
90	0.688023457
91	0.6880110946
92	0.6879916117
93	0.6879778223
94	0.6879584047
95	0.6879483381
96	0.6879369213
97	0.6879195926
98	0.6879059965
99	0.6878944022
100	0.6878733275
101	0.6878588051
102	0.6878419708
103	0.6878273809
104	0.6878179024
105	0.6878056464
106	0.687786961
107	0.6877671475
108	0.6877540854
109	0.687740574
110	0.6877278865
111	0.6877179933
112	0.6877024328
113	0.6876857823
114	0.6876742209
115	0.687661131
116	0.6876454543
117	0.6876226211
118	0.6876076067
119	0.6875890356
120	0.68757432
121	0.6875590022
122	0.6875406256
123	0.687524743
124	0.6875100251
125	0.6874969162
126	0.6874871519
127	0.6874762627
128	0.6874642259
129	0.6874509592
130	0.6874355627
131	0.6874229541
132	0.6874109998
133	0.6873964221
134	0.6873829423
135	0.687367593
136	0.6873554961
137	0.6873349374
138	0.6873203227
139	0.687303495
140	0.6872903165
141	0.6872826402
142	0.6872710582
143	0.6872623445
144	0.6872502224
145	0.6872379388
146	0.6872244607
147	0.6872147849
148	0.6872020812
149	0.6871892082
150	0.6871744157
151	0.6871590675
152	0.6871453869
153	0.6871323629
154	0.6871259561
155	0.6871055447
156	0.6870858523
157	0.6870697827
158	0.687055394
159	0.6870412658
160	0.6870280679
161	0.6870107185
162	0.6869986912
163	0.6869865092
164	0.686976661
165	0.6869598502
166	0.6869398484
167	0.68692735
168	0.6869077968
169	0.6868896149
170	0.6868770189
171	0.6868617069
172	0.6868536569
173	0.6868405828
174	0.6868233617
175	0.6868055016
176	0.6867942746
177	0.6867810058
178	0.6867676622
179	0.6867554313
180	0.6867414271
181	0.686726955
182	0.6867169974
183	0.6867049957
184	0.6866905012
185	0.686677684
186	0.6866684751
187	0.6866562625
188	0.6866405714
189	0.6866276941
190	0.6866157477
191	0.6866023922
192	0.6865897926
193	0.6865778539
194	0.6865671383
195	0.6865561789
196	0.6865458812
197	0.6865338335
198	0.6865211574
199	0.6865085386
200	0.6864899419
201	0.68647772
202	0.6864661762
203	0.686456419
204	0.6864426475
205	0.6864294021
206	0.6864188083
207	0.6864077712
208	0.6863945604
209	0.686383507
210	0.6863754714
211	0.6863643327
212	0.6863493742
213	0.6863347653
214	0.6863243748
215	0.6863060801
216	0.6862926487
217	0.6862788025
218	0.6862656778
219	0.6862539832
220	0.6862432763
221	0.6862313866
222	0.6862185178
223	0.686209949
224	0.6861976722
225	0.6861830993
226	0.6861674469
227	0.6861579388
228	0.6861460243
229	0.686135405
230	0.686120734
231	0.6861094398
232	0.6860916791
233	0.6860744142
234	0.6860644486
235	0.6860524674
236	0.6860405995
237	0.6860219669
238	0.6860137987
239	0.686006078
240	0.6859896667
241	0.6859784718
242	0.6859637852
243	0.6859518829
244	0.6859372758
245	0.6859250705
246	0.6859106679
247	0.6858967823
248	0.685891257
249	0.6858840937
250	0.6858771429
251	0.6858659709
252	0.6858536961
253	0.6858420734
254	0.6858286902
255	0.6858141201
256	0.6858051112
257	0.6857894365
258	0.6857766185
259	0.6857607996
260	0.6857500444
261	0.6857369107
262	0.6857234378
263	0.6857120832
264	0.685700629
265	0.6856879034
266	0.685671707
267	0.6856569466
268	0.6856416202
269	0.6856277363
270	0.6856135445
271	0.6856044702
272	0.685593526
273	0.6855848612
274	0.6855721936
275	0.685558165
276	0.6855465916
277	0.6855282684
278	0.6855168601
279	0.6855065217
280	0.6854911854
281	0.6854797986
282	0.6854630259
283	0.6854513527
284	0.6854404237
285	0.6854271938
286	0.6854145719
287	0.685398987
288	0.6853844174
289	0.6853776182
290	0.6853660892
291	0.6853541379
292	0.6853426279
293	0.6853317306
294	0.6853153184
295	0.685301477
296	0.6852830849
297	0.685265187
298	0.6852497529
299	0.6852305076
